epoch,train_loss,val_loss,train_reg,val_reg,train_edge,val_edge,train_tv,val_tv,lr
1,0.039331,0.025673,0.013566,0.007110,0.128828,0.092814,0.000170,0.000315,1.00000000e-04
2,0.026379,0.014605,0.017109,0.014590,0.046348,0.000071,0.000477,0.000722,1.00000000e-04
3,0.022452,0.013529,0.021333,0.012845,0.005595,0.003420,0.000812,0.001010,1.00000000e-04
4,0.020651,0.013110,0.019545,0.012004,0.005531,0.005532,0.001083,0.001145,1.00000000e-04
5,0.020440,0.012626,0.019251,0.012313,0.005943,0.001568,0.001147,0.001110,1.00000000e-04
6,0.020025,0.012396,0.019017,0.011900,0.005035,0.002478,0.001220,0.001376,1.00000000e-04
7,0.019567,0.012103,0.018363,0.011307,0.006019,0.003980,0.001591,0.001509,1.00000000e-04
8,0.019324,0.011999,0.017997,0.010762,0.006635,0.006187,0.001776,0.001650,1.00000000e-04
9,0.018275,0.011900,0.016974,0.010989,0.006505,0.004556,0.002230,0.002586,1.00000000e-04
10,0.018395,0.011645,0.016613,0.011370,0.008909,0.001376,0.002378,0.002210,1.00000000e-04
11,0.018378,0.011493,0.016907,0.011104,0.007353,0.001948,0.002488,0.002601,1.00000000e-04
12,0.017870,0.011445,0.016369,0.010755,0.007502,0.003449,0.002737,0.003073,1.00000000e-04
13,0.017822,0.011179,0.016056,0.010402,0.008830,0.003882,0.003081,0.002627,1.00000000e-04
14,0.017748,0.011373,0.016043,0.011010,0.008522,0.001812,0.002690,0.002944,1.00000000e-04
15,0.017588,0.011128,0.015931,0.010505,0.008287,0.003116,0.002765,0.002836,1.00000000e-04
16,0.017637,0.011026,0.015981,0.010402,0.008278,0.003122,0.003089,0.003031,1.00000000e-04
17,0.017698,0.011483,0.015716,0.011259,0.009909,0.001122,0.003351,0.002757,1.00000000e-04
18,0.017855,0.011338,0.016201,0.010680,0.008274,0.003290,0.002739,0.002272,1.00000000e-04
19,0.017961,0.010949,0.016173,0.009970,0.008942,0.004894,0.003043,0.003271,1.00000000e-04
20,0.018801,0.011325,0.016294,0.010804,0.012533,0.002606,0.003193,0.002429,1.00000000e-04
21,0.017975,0.011179,0.016452,0.010689,0.007612,0.002448,0.002384,0.002589,1.00000000e-04
22,0.017359,0.011257,0.015785,0.010975,0.007870,0.001410,0.003285,0.002938,1.00000000e-04
23,0.018370,0.011204,0.016334,0.009782,0.010181,0.007108,0.002690,0.002498,5.00000000e-05
24,0.017359,0.011033,0.015989,0.010633,0.006852,0.002001,0.002997,0.003201,5.00000000e-05
25,0.017701,0.010960,0.015734,0.010498,0.009836,0.002310,0.003509,0.003600,5.00000000e-05
26,0.017888,0.011092,0.015890,0.010719,0.009989,0.001868,0.003589,0.003230,5.00000000e-05
27,0.017339,0.010878,0.015863,0.010246,0.007381,0.003160,0.003482,0.003289,5.00000000e-05
28,0.017925,0.010952,0.016224,0.010425,0.008504,0.002634,0.003357,0.003184,5.00000000e-05
29,0.017910,0.010855,0.016669,0.009599,0.006207,0.006280,0.003137,0.003337,5.00000000e-05
30,0.017949,0.011186,0.015136,0.010913,0.014065,0.001362,0.003722,0.003156,5.00000000e-05
31,0.017231,0.010931,0.015391,0.010323,0.009198,0.003038,0.003245,0.003179,5.00000000e-05
32,0.018538,0.010779,0.016630,0.009921,0.009536,0.004291,0.003173,0.003358,5.00000000e-05
33,0.017750,0.011112,0.015587,0.010842,0.010816,0.001347,0.003509,0.003495,5.00000000e-05
34,0.017563,0.010812,0.015594,0.010141,0.009842,0.003354,0.003528,0.003417,5.00000000e-05
35,0.017461,0.010802,0.016022,0.010212,0.007193,0.002951,0.003208,0.003646,5.00000000e-05
36,0.016742,0.010852,0.015348,0.010366,0.006969,0.002429,0.003884,0.003979,2.50000000e-05
37,0.017309,0.010801,0.014809,0.010322,0.012501,0.002398,0.004162,0.003824,2.50000000e-05
38,0.017349,0.010820,0.015643,0.010271,0.008533,0.002744,0.003987,0.003455,2.50000000e-05
39,0.016920,0.010684,0.015476,0.009810,0.007219,0.004372,0.003338,0.003519,2.50000000e-05
40,0.017298,0.010830,0.015574,0.010400,0.008620,0.002149,0.003481,0.003793,2.50000000e-05
41,0.017042,0.010645,0.015308,0.009863,0.008667,0.003911,0.003733,0.003957,2.50000000e-05
42,0.018062,0.010943,0.015595,0.010608,0.012334,0.001674,0.003637,0.003850,2.50000000e-05
43,0.017988,0.010717,0.016559,0.010101,0.007145,0.003079,0.003607,0.003621,2.50000000e-05
44,0.017384,0.010672,0.015454,0.010023,0.009649,0.003245,0.003308,0.003838,2.50000000e-05
45,0.017296,0.010731,0.015744,0.010180,0.007759,0.002755,0.003822,0.004056,1.25000000e-05
46,0.016963,0.010631,0.015103,0.009900,0.009301,0.003655,0.003736,0.004013,1.25000000e-05
47,0.017215,0.010758,0.014685,0.010300,0.012648,0.002291,0.004212,0.003916,1.25000000e-05
48,0.017911,0.010862,0.015725,0.010444,0.010928,0.002090,0.003815,0.003571,1.25000000e-05
49,0.017361,0.010775,0.015658,0.010092,0.008515,0.003417,0.003537,0.003368,1.25000000e-05
50,0.017754,0.010712,0.016175,0.009967,0.007895,0.003725,0.003461,0.003467,6.25000000e-06
1,0.017011,0.010700,0.015286,0.010046,0.008625,0.003269,0.003561,0.003593,6.25000000e-06
2,0.017050,0.010649,0.015567,0.009962,0.007415,0.003434,0.003700,0.003706,6.25000000e-06
3,0.017263,0.010630,0.015525,0.009961,0.008692,0.003349,0.003561,0.003818,6.25000000e-06
4,0.017554,0.010669,0.015281,0.010085,0.011367,0.002917,0.003968,0.003837,3.12500000e-06
5,0.017394,0.010688,0.015885,0.010133,0.007547,0.002776,0.003638,0.003829,3.12500000e-06
6,0.016933,0.010651,0.015148,0.010043,0.008925,0.003042,0.003730,0.003854,3.12500000e-06
7,0.017519,0.010685,0.015431,0.010130,0.010444,0.002778,0.003682,0.003834,3.12500000e-06
8,0.016811,0.010663,0.015275,0.010073,0.007677,0.002950,0.003779,0.003838,1.56250000e-06
